Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,84.12
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,89.02
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,91.33
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,94.03
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,95.5
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,95.43
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.58
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.9
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.72
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.98
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.89
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,80.52
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,79.53
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,86.27
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,88.69
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,89.83
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,70.48
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,77.16
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,82.18
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,84.8
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,88.82
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,96.96
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.58
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.15
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.66
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.59
2004,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,59.8
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,59.3
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,67.57
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,69.23
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM,24,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,79.13
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,86.63
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,89.15
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,91.35
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.32
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.8
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.69
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,75.94
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,78.13
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,84.12
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,93.03
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,94.9
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,94.82
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.62
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.97
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,F,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.86
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,86.26
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,88.69
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,F,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,89.82
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,80.43
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,83.4
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,M,Y_GE15,None,PT,2025-03-15T00:00:00,2022,87.9
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,98.95
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.59
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,M,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2022,99.51
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,67.57
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,69.23
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,LFS - Employment Survey,SL_ISV_IFEM_19ICLS,24,M,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2022,79.13
